No,year,month,day,hour,season,PM_Dongsi,PM_Dongsihuan,PM_Nongzhanguan,PM_US Post,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
1,2013,1,1,0,4,NA,NA,NA,31,-10,67,1018,-5,NW,5.81,0,0
2,2013,1,1,1,4,NA,NA,NA,32,-11,73,1017,-7,NW,9.83,0,0
3,2013,1,1,2,4,NA,NA,NA,21,-11,73,1017,-7,NW,11.62,0,0
4,2013,1,1,3,4,NA,NA,NA,16,-14,72,1018,-10,NW,14.75,0,0
5,2013,1,1,4,4,NA,NA,NA,15,-15,66,1018,-10,cv,0.45,0,0
6,2013,1,1,5,4,NA,NA,NA,9,-15,78,1019,-12,NW,3.13,0,0
7,2013,1,1,6,4,NA,NA,NA,9,-15,72,1020,-11,cv,0.89,0,0
8,2013,1,1,7,4,NA,NA,NA,7,-16,45,1020,-6,NW,4.92,0,0
9,2013,1,1,8,4,NA,NA,NA,14,-18,38,1021,-6,NW,8.94,0,0
10,2013,1,1,9,4,NA,NA,NA,11,-19,32,1022,-5,NW,13.86,0,0
11,2013,1,1,10,4,NA,NA,NA,9,-22,21,1023,-3,NW,21.01,0,0
12,2013,1,1,11,4,NA,NA,NA,10,-22,21,1024,-3,NW,29.95,0,0
13,2013,1,1,12,4,NA,NA,NA,16,-23,19,1023,-3,NW,38,0,0
14,2013,1,1,13,4,NA,NA,NA,17,-23,21,1023,-4,NW,46.05,0,0
15,2013,1,1,14,4,NA,NA,NA,15,-23,21,1024,-4,NW,54.1,0,0
16,2013,1,1,15,4,NA,NA,NA,13,-25,19,1025,-5,NW,63.04,0,0
17,2013,1,1,16,4,NA,NA,NA,16,-25,20,1026,-6,NW,71.09,0,0
18,2013,1,1,17,4,NA,NA,NA,15,-25,22,1027,-7,NW,79.14,0,0
19,2013,1,1,18,4,NA,NA,NA,20,-27,20,1028,-8,NW,87.19,0,0
20,2013,1,1,19,4,NA,NA,NA,17,-26,23,1029,-9,NW,96.13,0,0
21,2013,1,1,20,4,NA,NA,NA,16,-26,25,1030,-10,NW,103.28,0,0
22,2013,1,1,21,4,NA,NA,NA,19,-27,23,1031,-10,NW,111.33,0,0
23,2013,1,1,22,4,NA,NA,NA,13,-27,25,1032,-11,NW,118.48,0,0
24,2013,1,1,23,4,NA,NA,NA,19,-28,23,1033,-11,NW,126.53,0,0
25,2013,1,2,0,4,NA,NA,NA,15,-28,25,1033,-12,NW,134.58,0,0
26,2013,1,2,1,4,NA,NA,NA,19,-28,25,1033,-12,NW,141.73,0,0
27,2013,1,2,2,4,NA,NA,NA,16,-28,25,1034,-12,NW,148.88,0,0
28,2013,1,2,3,4,NA,NA,NA,17,-28,25,1035,-12,NW,156.03,0,0
29,2013,1,2,4,4,NA,NA,NA,17,-28,25,1035,-12,NW,163.18,0,0
30,2013,1,2,5,4,NA,NA,NA,17,-28,27,1036,-13,NW,168.99,0,0
31,2013,1,2,6,4,NA,NA,NA,15,-28,27,1036,-13,NW,177.04,0,0
32,2013,1,2,7,4,NA,NA,NA,13,-28,27,1036,-13,NW,185.09,0,0
33,2013,1,2,8,4,NA,NA,NA,15,-27,27,1037,-12,NW,194.03,0,0
34,2013,1,2,9,4,NA,NA,NA,15,-27,25,1039,-11,NW,202.08,0,0
35,2013,1,2,10,4,NA,NA,NA,16,-28,21,1040,-10,NW,213.26,0,0
36,2013,1,2,11,4,NA,NA,NA,13,-28,19,1041,-9,NW,223.09,0,0
37,2013,1,2,12,4,NA,NA,NA,19,-29,18,1041,-9,NW,234.27,0,0
38,2013,1,2,13,4,NA,NA,NA,20,-28,18,1040,-8,NW,245.45,0,0
39,2013,1,2,14,4,NA,NA,NA,19,-27,20,1040,-8,NW,256.63,0,0
40,2013,1,2,15,4,NA,NA,NA,19,-27,20,1040,-8,NW,267.81,0,0
41,2013,1,2,16,4,NA,NA,NA,25,-27,20,1041,-8,NW,277.64,0,0
42,2013,1,2,17,4,NA,NA,NA,22,-27,20,1042,-8,NW,287.47,0,0
43,2013,1,2,18,4,NA,NA,NA,25,-26,25,1043,-10,NW,296.41,0,0
44,2013,1,2,19,4,NA,NA,NA,20,-26,25,1044,-10,NW,306.24,0,0
45,2013,1,2,20,4,NA,NA,NA,19,-28,21,1044,-10,NW,315.18,0,0
46,2013,1,2,21,4,NA,NA,NA,21,-27,23,1045,-10,NW,325.01,0,0
47,2013,1,2,22,4,NA,NA,NA,27,-27,25,1046,-11,NW,332.16,0,0
48,2013,1,2,23,4,NA,NA,NA,23,-26,27,1046,-11,NW,341.1,0,0
49,2013,1,3,0,4,NA,NA,NA,21,-27,25,1046,-11,NW,350.04,0,0
50,2013,1,3,1,4,NA,NA,NA,20,-28,23,1046,-11,NW,359.87,0,0
51,2013,1,3,2,4,NA,NA,NA,18,-28,23,1046,-11,NW,367.02,0,0
52,2013,1,3,3,4,NA,NA,NA,20,-28,25,1046,-12,NW,375.07,0,0
53,2013,1,3,4,4,NA,NA,NA,20,-28,25,1046,-12,NW,384.01,0,0
54,2013,1,3,5,4,NA,NA,NA,13,-28,25,1045,-12,NW,393.84,0,0
55,2013,1,3,6,4,NA,NA,NA,13,-27,29,1045,-13,NE,4.92,0,0
56,2013,1,3,7,4,NA,NA,NA,17,-26,35,1045,-14,NE,9.84,0,0
57,2013,1,3,8,4,NA,NA,NA,22,-25,33,1046,-12,NW,1.79,0,0
58,2013,1,3,9,4,NA,NA,NA,29,-26,25,1046,-10,NE,4.02,0,0
59,2013,1,3,10,4,NA,NA,NA,26,-26,23,1046,-9,NE,8.04,0,0
60,2013,1,3,11,4,NA,NA,NA,26,-25,24,1046,-8,NW,4.92,0,0
61,2013,1,3,12,4,NA,NA,NA,18,-25,22,1044,-7,NE,4.02,0,0
62,2013,1,3,13,4,NA,NA,NA,20,-24,22,1043,-6,NW,4.02,0,0
63,2013,1,3,14,4,NA,NA,NA,26,-24,22,1042,-6,NE,3.13,0,0
64,2013,1,3,15,4,NA,NA,NA,24,-24,20,1041,-5,NW,3.13,0,0
65,2013,1,3,16,4,NA,NA,NA,18,-23,22,1041,-5,NW,4.92,0,0
66,2013,1,3,17,4,NA,NA,NA,25,-23,28,1041,-8,cv,0.89,0,0
67,2013,1,3,18,4,NA,NA,NA,34,-20,40,1041,-9,NE,1.79,0,0
68,2013,1,3,19,4,NA,NA,NA,37,-21,40,1041,-10,NW,1.79,0,0
69,2013,1,3,20,4,NA,NA,NA,36,-21,43,1040,-11,NW,3.58,0,0
70,2013,1,3,21,4,NA,NA,NA,42,-21,43,1040,-11,NW,5.37,0,0
71,2013,1,3,22,4,NA,NA,NA,40,-21,47,1040,-12,NW,7.16,0,0
72,2013,1,3,23,4,NA,NA,NA,37,-21,47,1040,-12,NW,10.29,0,0
73,2013,1,4,0,4,NA,NA,NA,33,-21,55,1039,-14,NW,12.08,0,0
74,2013,1,4,1,4,NA,NA,NA,35,-21,60,1039,-15,NW,15.21,0,0
