No,year,month,day,hour,season,PM_Caotangsi,PM_Shahepu,PM_US Post,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
1,2013,1,1,0,4,121,138,129,-4,64.42,1022,2,cv,1,0,0
2,2013,1,1,1,4,134,159,135,-3,80.19,1022,0,cv,1,0,0
3,2013,1,1,2,4,NA,NA,NA,-3,80.19,1022,0,cv,1,0,0
4,2013,1,1,3,4,203,162,NA,-3,80.19,1022,0,SW,1,0,0
5,2013,1,1,4,4,217,157,NA,-1,100,1021,-1,cv,0,0,0
6,2013,1,1,5,4,220,170,NA,-3,92.85,1021,-2,SW,1,0,0
7,2013,1,1,6,4,214,225,NA,-2,92.91,1021,-1,NW,1,0,0
8,2013,1,1,7,4,209,244,NA,-2,100,1021,-2,cv,0,0,0
9,2013,1,1,8,4,228,242,NA,-3,100,1021,-3,NW,1,0,0
10,2013,1,1,9,4,219,277,NA,-2,100,1022,-2,NW,2,0,0
11,2013,1,1,10,4,225,281,NA,-2,74.78,1022,2,cv,1,0,0
12,2013,1,1,11,4,192,284,NA,-2,56.45,1022,6,cv,2,0,0
13,2013,1,1,12,4,NA,NA,189,-5,42.1,1020,7,NE,2,0,0
14,2013,1,1,13,4,159,181,132,-9,26.99,1018,9,SW,1,0,0
15,2013,1,1,14,4,168,184,100,-8,27.29,1017,10,SW,2,0,0
16,2013,1,1,15,4,143,162,101,-7,29.48,1015,10,NE,2,0,0
17,2013,1,1,16,4,113,151,91,-7,29.48,1015,10,NE,4,0,0
18,2013,1,1,17,4,85,146,95,-7,29.48,1014,10,cv,1,0,0
19,2013,1,1,18,4,93,147,115,-5,42.1,1014,7,cv,2,0,0
20,2013,1,1,19,4,117,164,129,-4,55.91,1014,4,cv,2,0,0
21,2013,1,1,20,4,118,165,138,-4,60,1015,3,cv,2,0,0
22,2013,1,1,21,4,122,171,159,-3,64.66,1015,3,cv,2,0,0
23,2013,1,1,22,4,158,223,163,-3,69.43,1015,2,cv,3,0,0
24,2013,1,1,23,4,169,222,155,-2,80.34,1016,1,cv,4,0,0
25,2013,1,2,0,4,210,194,170,-2,86.37,1015,0,cv,5,0,0
26,2013,1,2,1,4,NA,NA,193,-4,64.42,1016,2,NW,2,0,0
27,2013,1,2,2,4,182,198,202,-3,69.43,1016,2,NW,3,0,0
28,2013,1,2,3,4,145,193,167,-2,86.37,1017,0,NW,4,0,0
29,2013,1,2,4,4,126,188,148,-2,74.78,1016,2,NW,5,0,0
30,2013,1,2,5,4,109,191,144,-4,60,1017,3,NW,6,0,0
31,2013,1,2,6,4,122,166,139,-3,64.66,1017,3,NW,7,0,0
32,2013,1,2,7,4,124,148,180,-3,60.25,1018,4,NW,9,0,0
33,2013,1,2,8,4,124,157,153,-3,60.25,1019,4,SW,1,0,0
34,2013,1,2,9,4,175,163,161,-1,74.96,1019,3,SW,2,0,0
35,2013,1,2,10,4,NA,NA,185,-1,65.13,1021,5,cv,1,0,0
36,2013,1,2,11,4,174,237,NA,-1,60.76,1022,6,SW,2,0,0
37,2013,1,2,12,4,208,256,NA,0,61.01,1022,7,cv,1,0,0
38,2013,1,2,13,4,219,278,NA,0,56.99,1021,8,SW,1,0,0
39,2013,1,2,14,4,220,276,NA,0,53.26,1020,9,SW,2,0,0
40,2013,1,2,15,4,155,265,NA,-3,42.71,1020,9,NE,1,0,0
41,2013,1,2,16,4,103,199,126,-5,36.74,1021,9,NE,6,0,0
42,2013,1,2,17,4,97,169,113,-6,34.05,1023,9,NE,10,0,0
43,2013,1,2,18,4,79,134,56,-4,39.63,1024,9,NE,13,0,0
44,2013,1,2,19,4,38,87,56,-3,45.7,1027,8,NE,18,0,0
45,2013,1,2,20,4,43,76,58,-3,45.7,1028,8,NE,24,0,0
46,2013,1,2,21,4,NA,NA,67,-2,52.7,1030,7,NE,29,0,0
47,2013,1,2,22,4,51,79,65,-2,52.7,1031,7,NE,34,0,0
