No,year,month,day,hour,season,PM_City Station,PM_5th Middle School,PM_US Post,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
1,2013,1,1,0,4,83,78,83,3.7,91,1014.2,5,NW,1.9,0,0
2,2013,1,1,1,4,95,70,95,4.2,88,1014.2,6,NW,3.4,0,0
3,2013,1,1,2,4,94,NA,94,4.3,84,1014,6.8,NW,5,0,0
4,2013,1,1,3,4,55,66,55,3.5,76,1013.9,7.5,NW,5.8,0,0
5,2013,1,1,4,4,60,69,60,2.7,69,1013.9,8,NW,8.2,0,0
6,2013,1,1,5,4,41,51,41,1.5,62,1014.2,8.4,NW,9,0,0
7,2013,1,1,6,4,42,39,42,2.3,66,1014.3,8.3,NW,11.4,0,0
8,2013,1,1,7,4,40,37,40,2.9,69,1014.3,8.2,NE,2,0,0
9,2013,1,1,8,4,40,38,40,1.7,61,1014.8,8.8,NE,4.1,0,0
10,2013,1,1,9,4,35,34,35,0.4,51,1015.3,10.1,NE,6,0,0
11,2013,1,1,10,4,42,34,42,1.3,52,1015.3,10.8,NW,1.1,0,0
12,2013,1,1,11,4,48,28,48,0.7,46,1015.2,12,NW,4.1,0,0
13,2013,1,1,12,4,63,NA,63,-0.2,42,1014.2,12.3,NW,6.5,0,0
14,2013,1,1,13,4,62,49,62,0.1,42,1012.6,12.7,NE,1.5,0,0
15,2013,1,1,14,4,51,60,51,1.1,44,1011.6,13.1,NE,3.7,0,0
16,2013,1,1,15,4,49,50,49,1.1,43,1011.2,13.4,NE,5.5,0,0
17,2013,1,1,16,4,57,52,57,1.6,46,1011.4,12.9,NE,7.1,0,0
18,2013,1,1,17,4,60,52,60,3,52,1011.5,12.6,NE,8.5,0,0
19,2013,1,1,18,4,61,51,61,5.1,62,1012,12.2,cv,0,0,0
20,2013,1,1,19,4,72,57,72,6.3,72,1012.4,11.2,NW,1.2,0,0
21,2013,1,1,20,4,53,69,53,6.7,76,1012.4,10.8,NE,1.4,0,0
22,2013,1,1,21,4,50,53,50,6.5,75,1012.2,10.7,NW,1.2,0,0
23,2013,1,1,22,4,54,59,54,6.3,75,1012.2,10.5,NE,1,0,0
24,2013,1,1,23,4,63,61,63,6.6,77,1012.1,10.5,NW,0.8,0,0
25,2013,1,2,0,4,55,59,55,6.4,77,1011.9,10.3,NE,0.9,0,0
26,2013,1,2,1,4,51,NA,51,6.6,78,1011.5,10.3,NE,1.7,0,0
27,2013,1,2,2,4,66,61,66,7.1,80,1011.3,10.4,NW,1.3,0,0
28,2013,1,2,3,4,65,67,65,7,79,1011.1,10.5,NW,2.7,0,0
29,2013,1,2,4,4,63,76,63,5.1,68,1010.8,10.8,NW,5.2,0,0
30,2013,1,2,5,4,59,68,59,3.9,61,1011,11.1,NW,6.8,0,0
31,2013,1,2,6,4,68,60,68,4.9,66,1011.2,11,NW,8.8,0,0
