No,year,month,day,hour,season,PM_Jingan,PM_US Post,PM_Xuhui,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
1,2013,1,29,6,4,30,32,33,3,70.67,1022,8,SE,73,0,0
2,2013,1,29,7,4,34,38,42,3,70.67,1023,8,SE,77,0,0
3,2013,1,29,8,4,37,36,48,4,75.84,1023,8,SE,80,0,0
4,2013,1,29,9,4,44,37,44,4,66.27,1023,10,SE,84,0,0
5,2013,1,29,10,4,50,46,45,4,62,1024,11,SW,4,0,0
6,2013,1,29,11,4,60,54,55,4,54.35,1023,13,SW,8,0,0
7,2013,1,29,12,4,74,69,69,3,44.49,1023,15,SW,11,0,0
8,2013,1,29,13,4,87,73,83,3,44.49,1022,15,SW,14,0,0
9,2013,1,29,14,4,115,90,108,2,41.43,1022,15,NW,5,0,0
10,2013,1,29,15,4,144,123,141,3,47.46,1022,14,NW,9,0,0
11,2013,1,29,16,4,179,156,167,3,47.46,1023,14,NW,12,0,0
12,2013,1,29,17,4,199,166,185,4,54.35,1023,13,NW,14,0,0
13,2013,1,29,18,4,211,183,198,4,54.35,1023,13,cv,2,0,0
14,2013,1,29,19,4,217,184,216,4,62,1024,11,NW,2,0,0
15,2013,1,29,20,4,221,198,222,3,70.67,1025,8,SW,2,0,0
16,2013,1,29,21,4,223,197,206,4,70.88,1025,9,NE,1,0,0
17,2013,1,29,22,4,237,189,190,3,75.67,1025,7,SW,1,0,0
18,2013,1,29,23,4,245,193,196,4,81.2,1025,7,SW,2,0,0
19,2013,1,30,0,4,252,201,204,3,81.06,1026,6,cv,0,0,0
20,2013,1,30,1,4,247,199,218,3,86.89,1026,5,SW,1,0,0
21,2013,1,30,2,4,244,206,219,3,86.89,1026,5,cv,0,0,0
22,2013,1,30,3,4,244,218,220,3,86.89,1026,5,cv,0,0,0
23,2013,1,30,4,4,239,213,221,1,86.68,1026,3,SW,1,0,0
24,2013,1,30,5,4,241,214,221,2,86.79,1026,4,SW,2,0,0
25,2013,1,30,6,4,232,212,224,2,86.79,1027,4,SE,1,0,0
26,2013,1,30,7,4,224,222,229,2,93.13,1027,3,cv,0,0,0
27,2013,1,30,8,4,235,232,262,4,93.24,1027,5,SW,1,0,0
28,2013,1,30,9,4,245,224,266,5,71.07,1027,10,SE,2,0,0
29,2013,1,30,10,4,255,217,283,4,54.35,1027,13,SE,6,0,0
30,2013,1,30,11,4,241,230,230,4,47.74,1027,15,SE,10,0,0
31,2013,1,30,12,4,193,167,208,2,38.86,1026,16,SE,15,0,0
32,2013,1,30,13,4,193,160,219,3,39.16,1025,17,SE,19,0,0
33,2013,1,30,14,4,196,178,217,2,38.86,1024,16,SE,25,0,0
34,2013,1,30,15,4,205,183,214,2,38.86,1024,16,SE,31,0,0
35,2013,1,30,16,4,234,221,211,3,44.49,1024,15,SE,36,0,0
36,2013,1,30,17,4,204,207,196,4,50.92,1024,14,SE,41,0,0
37,2013,1,30,18,4,123,125,125,6,62.48,1025,13,SE,47,0,0
38,2013,1,30,19,4,71,84,78,8,76.52,1024,12,SE,52,0,0
39,2013,1,30,20,4,56,65,61,8,81.75,1025,11,SE,58,0,0
40,2013,1,30,21,4,40,48,49,8,81.75,1024,11,SE,65,0,0
41,2013,1,30,22,4,39,40,41,7,76.35,1024,11,SE,72,0,0
42,2013,1,30,23,4,NA,38,NA,8,81.75,1024,11,SE,77,0,0
43,2013,1,31,0,4,28,38,37,8,81.75,1024,11,SE,83,0,0
44,2013,1,31,1,4,25,35,33,8,81.75,1024,11,SE,89,0,0
45,2013,1,31,2,4,22,28,29,9,87.47,1023,11,SE,94,0,0
46,2013,1,31,3,4,19,26,21,9,87.47,1022,11,SE,100,0,0
47,2013,1,31,4,4,24,21,21,9,87.47,1022,11,SE,106,0,0
48,2013,1,31,5,4,17,21,25,9,87.47,1021,11,SE,113,0,0
49,2013,1,31,6,4,20,18,22,10,87.57,1022,12,SE,121,0,0
50,2013,1,31,7,4,28,24,20,10,87.57,1022,12,SE,126,0,0
51,2013,1,31,8,4,33,29,29,10,87.57,1023,12,SE,130,0,0
52,2013,1,31,9,4,19,31,30,10,87.57,1022,12,SE,136,0,0
53,2013,1,31,10,4,34,27,28,11,82.14,1022,14,SE,142,0,0
54,2013,1,31,11,4,34,26,29,10,67.57,1022,16,SE,150,0,0
55,2013,1,31,12,4,34,32,35,8,55.41,1021,17,SE,155,0,0
