No,year,month,day,hour,season,PM_Taiyuanjie,PM_US Post,PM_Xiaoheyan,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
1,2013,1,1,0,4,145,NA,148,-17,66.23,1016,-12,SE,24,0,0
2,2013,1,1,1,4,150,NA,133,-16,72.02,1016,-12,SE,26,0,0
3,2013,1,1,2,4,NA,NA,NA,-15,72.23,1016,-11,SE,29,0,0
4,2013,1,1,3,4,142,NA,121,-14,78.44,1016,-11,cv,1,0.1,0.1
5,2013,1,1,4,4,105,NA,110,-16,78.1,1016,-13,NW,2,0,0
6,2013,1,1,5,4,154,NA,107,-16,84.74,1016,-14,NE,1,0,0
7,2013,1,1,6,4,176,NA,123,-16,84.74,1016,-14,SW,3,0,0
8,2013,1,1,7,4,140,NA,111,-18,71.6,1018,-14,NW,5,0,0
9,2013,1,1,8,4,93,NA,76,-18,71.6,1019,-14,NW,9,0,0
10,2013,1,1,9,4,53,NA,56,-18,71.6,1020,-14,NW,12,0,0
11,2013,1,1,10,4,23,NA,29,-22,54.98,1021,-15,NW,19,0,0
12,2013,1,1,11,4,29,NA,20,-24,46.01,1021,-15,NW,24,0,0
13,2013,1,1,12,4,NA,NA,NA,-24,46.01,1021,-15,NW,28,0,0
14,2013,1,1,13,4,13,NA,7,-24,46.01,1022,-15,NW,33,0,0
15,2013,1,1,14,4,8,NA,6,-25,42.03,1022,-15,NW,37,0,0
16,2013,1,1,15,4,9,NA,8,-26,38.37,1023,-15,NW,41,0,0
17,2013,1,1,16,4,14,NA,9,-27,38.03,1024,-16,NW,44,0,0
18,2013,1,1,17,4,24,NA,14,-27,41.36,1024,-17,NW,47,0,0
19,2013,1,1,18,4,34,NA,24,-27,45.02,1025,-18,NW,49,0,0
20,2013,1,1,19,4,37,NA,20,-27,45.02,1026,-18,NW,52,0,0
21,2013,1,1,20,4,25,NA,17,-28,44.68,1026,-19,NW,53,0,0
22,2013,1,1,21,4,18,NA,25,-28,53.13,1026,-21,SE,2,0,0
23,2013,1,1,22,4,21,NA,77,-29,57.71,1026,-23,SE,4,0,0
24,2013,1,1,23,4,30,NA,59,-30,62.84,1027,-25,cv,1,0,0
25,2013,1,2,0,4,43,NA,26,-30,62.84,1027,-25,SW,2,0,0
26,2013,1,2,1,4,NA,NA,NA,-30,62.84,1027,-25,SW,4,0,0
27,2013,1,2,2,4,25,NA,23,-30,62.84,1028,-25,SW,5,0,0
28,2013,1,2,3,4,19,NA,13,-31,68.59,1028,-27,SW,7,0,0
29,2013,1,2,4,4,36,NA,12,-31,62.56,1029,-26,SW,8,0,0
30,2013,1,2,5,4,22,NA,9,-31,68.59,1029,-27,SW,10,0,0
31,2013,1,2,6,4,16,NA,8,-31,68.59,1030,-27,SW,12,0,0
32,2013,1,2,7,4,19,NA,10,-31,68.59,1031,-27,SE,1,0,0
