,year,month,day,hour,season,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,PM_Mean,PM_Class
0,2013,3,5,8,1,-6.0,59.0,1019.0,1.0,0,0.89,0.0,0.0,143.250,3
1,2013,3,5,9,1,-8.0,38.0,1019.0,5.0,0,1.78,0.0,0.0,152.750,4
2,2013,3,5,10,1,-8.0,31.0,1018.0,8.0,0,2.67,0.0,0.0,153.500,4
3,2013,3,5,12,1,-9.0,23.0,1017.0,11.0,0,4.45,0.0,0.0,133.750,3
4,2013,3,5,13,1,-9.0,22.0,1015.0,12.0,0,5.34,0.0,0.0,132.000,3
5,2013,3,5,14,1,-10.0,19.0,1014.0,13.0,0,7.13,0.0,0.0,181.000,4
6,2013,3,5,15,1,-9.0,19.0,1013.0,14.0,2,3.13,0.0,0.0,199.750,4
7,2013,3,5,16,1,-9.0,19.0,1013.0,14.0,2,4.92,0.0,0.0,211.250,5
8,2013,3,5,17,1,-8.0,23.0,1013.0,12.0,1,1.79,0.0,0.0,205.750,5
9,2013,3,5,18,1,-7.0,33.0,1013.0,8.0,0,0.45,0.0,0.0,202.750,5
10,2013,3,5,19,1,-6.0,44.0,1014.0,5.0,0,1.34,0.0,0.0,215.750,5
11,2013,3,5,20,1,-7.0,38.0,1014.0,6.0,0,2.23,0.0,0.0,239.500,5
12,2013,3,5,21,1,-6.0,48.0,1014.0,4.0,3,0.89,0.0,0.0,250.000,5
13,2013,3,5,22,1,-6.0,48.0,1014.0,4.0,0,0.89,0.0,0.0,253.250,5
14,2013,3,5,23,1,-6.0,51.0,1014.0,3.0,0,1.78,0.0,0.0,256.750,5
15,2013,3,6,0,1,-6.0,55.0,1014.0,2.0,3,3.13,0.0,0.0,234.500,5
16,2013,3,6,1,1,-6.0,51.0,1014.0,3.0,3,4.92,0.0,0.0,201.750,5
17,2013,3,6,2,1,-6.0,55.0,1013.0,2.0,3,6.71,0.0,0.0,189.000,4
18,2013,3,6,3,1,-6.0,55.0,1013.0,2.0,3,9.84,0.0,0.0,180.500,4
19,2013,3,6,4,1,-6.0,55.0,1013.0,2.0,3,12.97,0.0,0.0,173.250,4
20,2013,3,6,5,1,-6.0,55.0,1013.0,2.0,3,16.1,0.0,0.0,178.250,4
21,2013,3,6,6,1,-5.0,59.0,1013.0,2.0,3,19.23,0.0,0.0,186.750,4
22,2013,3,6,7,1,-5.0,55.0,1014.0,3.0,3,23.25,0.0,0.0,187.750,4
23,2013,3,6,8,1,-5.0,51.0,1015.0,4.0,3,26.38,0.0,0.0,190.250,4
24,2013,3,6,9,1,-6.0,39.0,1015.0,7.0,3,30.4,0.0,0.0,163.750,4
25,2013,3,6,10,1,-6.0,36.0,1015.0,8.0,3,34.42,0.0,0.0,179.250,4
26,2013,3,6,11,1,-6.0,31.0,1014.0,10.0,3,38.44,0.0,0.0,184.750,4
27,2013,3,6,12,1,-6.0,31.0,1013.0,10.0,3,42.46,0.0,0.0,203.750,5
28,2013,3,6,13,1,-6.0,31.0,1012.0,10.0,0,0.89,0.0,0.0,229.750,5
29,2013,3,6,14,1,-6.0,27.0,1011.0,12.0,0,1.78,0.0,0.0,245.750,5
30,2013,3,6,15,1,-6.0,26.0,1011.0,13.0,0,2.67,0.0,0.0,244.500,5
31,2013,3,6,16,1,-6.0,24.0,1011.0,14.0,0,3.56,0.0,0.0,242.500,5
32,2013,3,6,17,1,-5.0,28.0,1011.0,13.0,0,4.45,0.0,0.0,243.000,5
33,2013,3,6,19,1,-4.0,48.0,1012.0,6.0,0,7.13,0.0,0.0,245.000,5
34,2013,3,6,20,1,-3.0,56.0,1013.0,5.0,0,8.02,0.0,0.0,247.250,5
35,2013,3,6,21,1,-3.0,56.0,1014.0,5.0,0,8.91,0.0,0.0,242.750,5
36,2013,3,6,22,1,-3.0,60.0,1013.0,4.0,0,9.8,0.0,0.0,240.750,5
37,2013,3,6,23,1,-4.0,69.0,1013.0,1.0,0,10.69,0.0,0.0,240.000,5
38,2013,3,7,0,1,-3.0,69.0,1013.0,2.0,2,0.89,0.0,0.0,237.500,5
39,2013,3,7,1,1,-4.0,80.0,1013.0,-1.0,1,1.79,0.0,0.0,241.000,5
40,2013,3,7,2,1,-4.0,80.0,1013.0,-1.0,3,0.89,0.0,0.0,245.750,5
41,2013,3,7,3,1,-4.0,80.0,1012.0,-1.0,3,1.78,0.0,0.0,273.500,5
42,2013,3,7,4,1,-5.0,86.0,1012.0,-3.0,3,3.57,0.0,0.0,305.250,5
43,2013,3,7,5,1,-5.0,79.0,1012.0,-2.0,0,0.45,0.0,0.0,313.750,5
44,2013,3,7,6,1,-5.0,79.0,1012.0,-2.0,1,0.89,0.0,0.0,321.500,5
45,2013,3,7,7,1,-3.0,86.0,1012.0,-1.0,0,0.45,0.0,0.0,316.250,5
46,2013,3,7,8,1,-1.0,80.0,1012.0,2.0,2,0.89,0.0,0.0,310.250,5
47,2013,3,7,9,1,-2.0,52.0,1013.0,7.0,0,0.89,0.0,0.0,284.500,5
48,2013,3,7,10,1,-2.0,49.0,1012.0,8.0,0,1.78,0.0,0.0,272.000,5
49,2013,3,7,11,1,-2.0,35.0,1010.0,13.0,2,1.79,0.0,0.0,322.500,5
50,2013,3,7,12,1,-3.0,30.0,1009.0,14.0,2,4.92,0.0,0.0,346.250,5
51,2013,3,7,13,1,-3.0,25.0,1007.0,17.0,2,8.94,0.0,0.0,313.250,5
52,2013,3,7,14,1,-5.0,20.0,1006.0,18.0,0,3.13,0.0,0.0,304.750,5
53,2013,3,7,15,1,-4.0,22.0,1004.0,18.0,2,3.13,0.0,0.0,236.750,5
54,2013,3,7,16,1,-4.0,20.0,1003.0,19.0,0,1.79,0.0,0.0,194.500,4
55,2013,3,7,17,1,-1.0,31.0,1002.0,16.0,2,1.79,0.0,0.0,195.250,4
56,2013,3,7,19,1,0.0,46.0,1003.0,11.0,1,1.79,0.0,0.0,207.750,5
57,2013,3,7,20,1,0.0,56.0,1003.0,8.0,1,3.58,0.0,0.0,300.000,5
58,2013,3,7,21,1,0.0,53.0,1003.0,9.0,0,0.89,0.0,0.0,446.500,5
59,2013,3,7,22,1,-1.0,60.0,1003.0,6.0,3,1.79,0.0,0.0,486.750,5
60,2013,3,7,23,1,0.0,60.0,1004.0,7.0,0,0.45,0.0,0.0,481.250,5
61,2013,3,8,0,1,-1.0,65.0,1003.0,5.0,3,0.89,0.0,0.0,429.750,5
62,2013,3,8,1,1,-2.0,64.0,1004.0,4.0,3,2.68,0.0,0.0,382.250,5
63,2013,3,8,2,1,-2.0,64.0,1004.0,4.0,3,5.81,0.0,0.0,351.250,5
64,2013,3,8,3,1,-2.0,69.0,1003.0,3.0,3,8.94,0.0,0.0,333.250,5
65,2013,3,8,4,1,-2.0,74.0,1004.0,2.0,0,0.45,0.0,0.0,323.250,5
66,2013,3,8,5,1,-2.0,74.0,1004.0,2.0,0,1.34,0.0,0.0,278.000,5
67,2013,3,8,6,1,-3.0,80.0,1005.0,0.0,0,2.23,0.0,0.0,242.750,5
68,2013,3,8,7,1,-4.0,74.0,1005.0,0.0,1,3.13,0.0,0.0,234.250,5
69,2013,3,8,8,1,0.0,60.0,1006.0,7.0,0,0.89,0.0,0.0,304.000,5
70,2013,3,8,10,1,-2.0,33.0,1007.0,14.0,2,1.79,0.0,0.0,161.000,4
71,2013,3,8,11,1,-5.0,18.0,1006.0,20.0,2,4.92,0.0,0.0,106.250,3
72,2013,3,8,12,1,-6.0,15.0,1006.0,21.0,2,8.94,0.0,0.0,188.750,4
73,2013,3,8,13,1,0.0,29.0,1005.0,18.0,2,16.09,0.0,0.0,327.750,4
74,2013,3,8,15,1,0.0,38.0,1005.0,14.0,2,29.95,0.0,0.0,150.750,4
75,2013,3,8,16,1,0.0,40.0,1005.0,13.0,2,38.0,0.0,0.0,98.000,2
76,2013,3,8,17,1,-1.0,43.0,1006.0,11.0,2,42.92,0.0,0.0,76.750,2
77,2013,3,8,18,1,-1.0,49.0,1006.0,9.0,2,46.05,0.0,0.0,89.750,2
78,2013,3,8,19,1,-2.0,52.0,1006.0,7.0,2,47.84,0.0,0.0,84.500,2
79,2013,3,8,20,1,-2.0,49.0,1006.0,8.0,2,50.97,0.0,0.0,78.750,2
80,2013,3,8,21,1,-3.0,56.0,1006.0,5.0,2,52.76,0.0,0.0,84.500,2
81,2013,3,8,22,1,-4.0,48.0,1006.0,6.0,2,55.89,0.0,0.0,75.250,2
82,2013,3,8,23,1,-4.0,55.0,1005.0,4.0,2,59.02,0.0,0.0,68.000,2
83,2013,3,9,0,1,-4.0,64.0,1003.0,2.0,0,0.89,0.0,0.0,80.500,2
84,2013,3,9,1,1,-4.0,59.0,1002.0,3.0,0,1.78,0.0,0.0,88.250,2
85,2013,3,9,2,1,-4.0,69.0,1001.0,1.0,2,0.89,0.0,0.0,95.750,2
86,2013,3,9,4,1,-3.0,74.0,998.0,1.0,0,1.78,0.0,0.0,105.750,3
87,2013,3,9,5,1,-3.0,69.0,997.0,2.0,0,2.67,0.0,0.0,115.500,3
88,2013,3,9,6,1,-4.0,69.0,998.0,1.0,3,1.79,0.0,0.0,113.000,3
89,2013,3,9,7,1,-3.0,74.0,998.0,1.0,3,4.92,0.0,0.0,111.250,3
90,2013,3,9,8,1,-2.0,64.0,999.0,4.0,3,8.05,0.0,0.0,121.500,3
91,2013,3,9,9,1,-3.0,48.0,1000.0,7.0,3,12.07,0.0,0.0,141.000,3
92,2013,3,9,10,1,-3.0,32.0,1002.0,13.0,1,3.13,0.0,0.0,61.500,2
93,2013,3,9,11,1,-11.0,12.0,1004.0,18.0,3,16.99,0.0,0.0,57.500,2
94,2013,3,9,12,1,-16.0,10.0,1007.0,15.0,3,33.08,0.0,0.0,44.750,1
95,2013,3,9,13,1,-20.0,7.0,1009.0,14.0,3,49.17,0.0,0.0,45.250,1
