,year,month,day,hour,season,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,PM_Mean,PM_Class
0,2013,1,1,0,4,-4.0,64.42,1022.0,2.0,0,1.0,0.0,0.0,129.333,3
1,2013,1,1,1,4,-3.0,80.19,1022.0,0.0,0,1.0,0.0,0.0,142.667,3
2,2013,1,1,13,4,-9.0,26.99,1018.0,9.0,4,1.0,0.0,0.0,157.333,4
3,2013,1,1,14,4,-8.0,27.29,1017.0,10.0,4,2.0,0.0,0.0,150.667,4
4,2013,1,1,15,4,-7.0,29.48,1015.0,10.0,1,2.0,0.0,0.0,135.333,3
5,2013,1,1,16,4,-7.0,29.48,1015.0,10.0,1,4.0,0.0,0.0,118.333,3
6,2013,1,1,17,4,-7.0,29.48,1014.0,10.0,0,1.0,0.0,0.0,108.667,3
7,2013,1,1,18,4,-5.0,42.1,1014.0,7.0,0,2.0,0.0,0.0,118.333,3
8,2013,1,1,19,4,-4.0,55.91,1014.0,4.0,0,2.0,0.0,0.0,136.667,3
9,2013,1,1,20,4,-4.0,60.0,1015.0,3.0,0,2.0,0.0,0.0,140.333,3
10,2013,1,1,21,4,-3.0,64.66,1015.0,3.0,0,2.0,0.0,0.0,150.667,4
11,2013,1,1,22,4,-3.0,69.43,1015.0,2.0,0,3.0,0.0,0.0,181.333,4
12,2013,1,1,23,4,-2.0,80.34,1016.0,1.0,0,4.0,0.0,0.0,182.000,4
13,2013,1,2,0,4,-2.0,86.37,1015.0,0.0,0,5.0,0.0,0.0,191.333,4
14,2013,1,2,2,4,-3.0,69.43,1016.0,2.0,3,3.0,0.0,0.0,194.000,4
15,2013,1,2,3,4,-2.0,86.37,1017.0,0.0,3,4.0,0.0,0.0,168.333,4
16,2013,1,2,4,4,-2.0,74.78,1016.0,2.0,3,5.0,0.0,0.0,154.000,4
17,2013,1,2,5,4,-4.0,60.0,1017.0,3.0,3,6.0,0.0,0.0,148.000,3
