,year,month,day,hour,season,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,PM_Mean,PM_Class
0,2013,1,1,0,4.0,3.7,91.0,1014.2,5.0,3,1.9,0.0,0.0,81.333,2
1,2013,1,1,1,4.0,4.2,88.0,1014.2,6.0,3,3.4,0.0,0.0,86.667,2
2,2013,1,1,3,4.0,3.5,76.0,1013.9,7.5,3,5.8,0.0,0.0,58.667,2
3,2013,1,1,4,4.0,2.7,69.0,1013.9,8.0,3,8.2,0.0,0.0,63.000,2
4,2013,1,1,5,4.0,1.5,62.0,1014.2,8.4,3,9.0,0.0,0.0,44.333,1
5,2013,1,1,6,4.0,2.3,66.0,1014.3,8.3,3,11.4,0.0,0.0,41.000,1
6,2013,1,1,7,4.0,2.9,69.0,1014.3,8.2,1,2.0,0.0,0.0,39.000,1
7,2013,1,1,8,4.0,1.7,61.0,1014.8,8.8,1,4.1,0.0,0.0,39.333,1
8,2013,1,1,9,4.0,0.4,51.0,1015.3,10.1,1,6.0,0.0,0.0,34.667,1
9,2013,1,1,10,4.0,1.3,52.0,1015.3,10.8,3,1.1,0.0,0.0,39.333,1
10,2013,1,1,11,4.0,0.7,46.0,1015.2,12.0,3,4.1,0.0,0.0,41.333,1
11,2013,1,1,13,4.0,0.1,42.0,1012.6,12.7,1,1.5,0.0,0.0,57.667,2
12,2013,1,1,14,4.0,1.1,44.0,1011.6,13.1,1,3.7,0.0,0.0,54.000,2
13,2013,1,1,15,4.0,1.1,43.0,1011.2,13.4,1,5.5,0.0,0.0,49.333,1
14,2013,1,1,16,4.0,1.6,46.0,1011.4,12.9,1,7.1,0.0,0.0,55.333,2
15,2013,1,1,17,4.0,3.0,52.0,1011.5,12.6,1,8.5,0.0,0.0,57.333,2
16,2013,1,1,18,4.0,5.1,62.0,1012.0,12.2,0,0.0,0.0,0.0,57.667,2
17,2013,1,1,19,4.0,6.3,72.0,1012.4,11.2,3,1.2,0.0,0.0,67.000,2
18,2013,1,1,20,4.0,6.7,76.0,1012.4,10.8,1,1.4,0.0,0.0,58.333,2
19,2013,1,1,21,4.0,6.5,75.0,1012.2,10.7,3,1.2,0.0,0.0,51.000,2
20,2013,1,1,22,4.0,6.3,75.0,1012.2,10.5,1,1.0,0.0,0.0,55.667,2
21,2013,1,1,23,4.0,6.6,77.0,1012.1,10.5,3,0.8,0.0,0.0,62.333,2
22,2013,1,2,0,4.0,6.4,77.0,1011.9,10.3,1,0.9,0.0,0.0,56.333,2
23,2013,1,2,2,4.0,7.1,80.0,1011.3,10.4,3,1.3,0.0,0.0,64.333,2
24,2013,1,2,3,4.0,7.0,79.0,1011.1,10.5,3,2.7,0.0,0.0,65.667,2
25,2013,1,2,4,4.0,5.1,68.0,1010.8,10.8,3,5.2,0.0,0.0,67.333,2
26,2013,1,2,5,4.0,3.9,61.0,1011.0,11.1,3,6.8,0.0,0.0,62.000,2
27,2013,1,2,6,4.0,4.9,66.0,1011.2,11.0,3,8.8,0.0,0.0,65.333,2
28,2013,1,2,7,4.0,3.8,60.0,1011.8,11.3,3,12.9,0.0,0.0,63.667,2
29,2013,1,2,8,4.0,4.0,59.0,1012.7,11.7,3,15.8,0.0,0.0,66.000,2
30,2013,1,2,9,4.0,4.7,60.0,1013.5,12.2,3,18.3,0.0,0.0,69.333,2
31,2013,1,2,11,4.0,4.7,52.0,1013.8,14.4,1,2.5,0.0,0.0,79.333,2
32,2013,1,2,12,4.0,5.7,50.0,1012.5,16.1,1,4.9,0.0,0.0,79.000,2
33,2013,1,2,13,4.0,4.9,42.0,1011.2,18.0,3,2.0,0.0,0.0,79.333,2
