,year,month,day,hour,season,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,PM_Mean,PM_Class
0,2013,1,29,6,4,3.0,70.67,1022.0,8.0,2,73.0,0.0,0.0,31.667,1
1,2013,1,29,7,4,3.0,70.67,1023.0,8.0,2,77.0,0.0,0.0,38.000,1
2,2013,1,29,8,4,4.0,75.84,1023.0,8.0,2,80.0,0.0,0.0,40.333,1
3,2013,1,29,9,4,4.0,66.27,1023.0,10.0,2,84.0,0.0,0.0,41.667,1
4,2013,1,29,10,4,4.0,62.0,1024.0,11.0,4,4.0,0.0,0.0,47.000,1
5,2013,1,29,11,4,4.0,54.35,1023.0,13.0,4,8.0,0.0,0.0,56.333,2
6,2013,1,29,12,4,3.0,44.49,1023.0,15.0,4,11.0,0.0,0.0,70.667,2
7,2013,1,29,13,4,3.0,44.49,1022.0,15.0,4,14.0,0.0,0.0,81.000,2
8,2013,1,29,14,4,2.0,41.43,1022.0,15.0,3,5.0,0.0,0.0,104.333,3
9,2013,1,29,15,4,3.0,47.46,1022.0,14.0,3,9.0,0.0,0.0,136.000,3
10,2013,1,29,16,4,3.0,47.46,1023.0,14.0,3,12.0,0.0,0.0,167.333,4
11,2013,1,29,17,4,4.0,54.35,1023.0,13.0,3,14.0,0.0,0.0,183.333,4
12,2013,1,29,18,4,4.0,54.35,1023.0,13.0,0,2.0,0.0,0.0,197.333,4
13,2013,1,29,19,4,4.0,62.0,1024.0,11.0,3,2.0,0.0,0.0,205.667,5
14,2013,1,29,20,4,3.0,70.67,1025.0,8.0,4,2.0,0.0,0.0,213.667,5
15,2013,1,29,21,4,4.0,70.88,1025.0,9.0,1,1.0,0.0,0.0,208.667,5
16,2013,1,29,22,4,3.0,75.67,1025.0,7.0,4,1.0,0.0,0.0,205.333,5
17,2013,1,29,23,4,4.0,81.2,1025.0,7.0,4,2.0,0.0,0.0,211.333,5
18,2013,1,30,0,4,3.0,81.06,1026.0,6.0,0,0.0,0.0,0.0,219.000,5
19,2013,1,30,1,4,3.0,86.89,1026.0,5.0,4,1.0,0.0,0.0,221.333,5
20,2013,1,30,2,4,3.0,86.89,1026.0,5.0,0,0.0,0.0,0.0,223.000,5
21,2013,1,30,3,4,3.0,86.89,1026.0,5.0,0,0.0,0.0,0.0,227.333,5
22,2013,1,30,4,4,1.0,86.68,1026.0,3.0,4,1.0,0.0,0.0,224.333,5
23,2013,1,30,5,4,2.0,86.79,1026.0,4.0,4,2.0,0.0,0.0,225.333,5
24,2013,1,30,6,4,2.0,86.79,1027.0,4.0,2,1.0,0.0,0.0,222.667,5
25,2013,1,30,7,4,2.0,93.13,1027.0,3.0,0,0.0,0.0,0.0,225.000,5
26,2013,1,30,8,4,4.0,93.24,1027.0,5.0,4,1.0,0.0,0.0,243.000,5
27,2013,1,30,9,4,5.0,71.07,1027.0,10.0,2,2.0,0.0,0.0,245.000,5
28,2013,1,30,10,4,4.0,54.35,1027.0,13.0,2,6.0,0.0,0.0,251.667,5
29,2013,1,30,11,4,4.0,47.74,1027.0,15.0,2,10.0,0.0,0.0,233.667,5
30,2013,1,30,12,4,2.0,38.86,1026.0,16.0,2,15.0,0.0,0.0,189.333,4
31,2013,1,30,13,4,3.0,39.16,1025.0,17.0,2,19.0,0.0,0.0,190.667,4
32,2013,1,30,14,4,2.0,38.86,1024.0,16.0,2,25.0,0.0,0.0,197.000,4
33,2013,1,30,15,4,2.0,38.86,1024.0,16.0,2,31.0,0.0,0.0,200.667,5
34,2013,1,30,16,4,3.0,44.49,1024.0,15.0,2,36.0,0.0,0.0,222.000,5
35,2013,1,30,17,4,4.0,50.92,1024.0,14.0,2,41.0,0.0,0.0,202.333,5
36,2013,1,30,18,4,6.0,62.48,1025.0,13.0,2,47.0,0.0,0.0,124.333,3
37,2013,1,30,19,4,8.0,76.52,1024.0,12.0,2,52.0,0.0,0.0,77.667,2
38,2013,1,30,20,4,8.0,81.75,1025.0,11.0,2,58.0,0.0,0.0,60.667,2
39,2013,1,30,21,4,8.0,81.75,1024.0,11.0,2,65.0,0.0,0.0,45.667,1
40,2013,1,30,22,4,7.0,76.35,1024.0,11.0,2,72.0,0.0,0.0,40.000,1
41,2013,1,31,0,4,8.0,81.75,1024.0,11.0,2,83.0,0.0,0.0,34.333,1
42,2013,1,31,1,4,8.0,81.75,1024.0,11.0,2,89.0,0.0,0.0,31.000,1
43,2013,1,31,2,4,9.0,87.47,1023.0,11.0,2,94.0,0.0,0.0,26.333,1
44,2013,1,31,3,4,9.0,87.47,1022.0,11.0,2,100.0,0.0,0.0,22.000,1
45,2013,1,31,4,4,9.0,87.47,1022.0,11.0,2,106.0,0.0,0.0,22.000,1
46,2013,1,31,5,4,9.0,87.47,1021.0,11.0,2,113.0,0.0,0.0,21.000,1
47,2013,1,31,6,4,10.0,87.57,1022.0,12.0,2,121.0,0.0,0.0,20.000,1
48,2013,1,31,7,4,10.0,87.57,1022.0,12.0,2,126.0,0.0,0.0,24.000,1
49,2013,1,31,8,4,10.0,87.57,1023.0,12.0,2,130.0,0.0,0.0,30.333,1
50,2013,1,31,9,4,10.0,87.57,1022.0,12.0,2,136.0,0.0,0.0,26.667,1
51,2013,1,31,10,4,11.0,82.14,1022.0,14.0,2,142.0,0.0,0.0,29.667,1
52,2013,1,31,11,4,10.0,67.57,1022.0,16.0,2,150.0,0.0,0.0,29.667,1
53,2013,1,31,12,4,8.0,55.41,1021.0,17.0,2,155.0,0.0,0.0,33.667,1
54,2013,1,31,13,4,7.0,51.75,1020.0,17.0,2,160.0,0.0,0.0,29.000,1
55,2013,1,31,14,4,7.0,51.75,1019.0,17.0,2,166.0,0.0,0.0,41.667,1
56,2013,1,31,15,4,6.0,48.31,1018.0,17.0,2,172.0,0.0,0.0,46.667,1
57,2013,1,31,16,4,6.0,48.31,1018.0,17.0,2,177.0,0.0,0.0,44.333,1
58,2013,1,31,18,4,8.0,59.04,1018.0,16.0,2,185.0,0.0,0.0,47.333,1
59,2013,1,31,19,4,8.0,62.95,1018.0,15.0,2,189.0,0.0,0.0,55.667,2
60,2013,1,31,20,4,8.0,62.95,1018.0,15.0,2,194.0,0.0,0.0,59.333,2
61,2013,1,31,21,4,9.0,71.85,1018.0,14.0,2,198.0,0.0,0.0,59.000,2
62,2013,1,31,22,4,9.0,71.85,1018.0,14.0,2,202.0,0.0,0.0,63.000,2
63,2013,1,31,23,4,10.0,82.01,1018.0,13.0,2,205.0,0.4,0.4,60.333,2
64,2013,2,1,0,4,10.0,82.01,1018.0,13.0,2,207.0,1.4,1.8,57.000,2
65,2013,2,1,2,4,11.0,93.6,1017.0,12.0,2,212.0,2.5,6.6,49.667,1
66,2013,2,1,4,4,11.0,93.6,1017.0,12.0,2,217.0,7.4,15.2,45.667,1
67,2013,2,1,5,4,11.0,93.6,1017.0,12.0,4,2.0,3.8,19.0,51.333,2
68,2013,2,1,6,4,11.0,93.6,1017.0,12.0,2,2.0,1.7,20.7,50.667,2
69,2013,2,1,8,4,12.0,93.65,1018.0,13.0,2,4.0,0.0,0.0,59.000,2
70,2013,2,1,9,4,13.0,100.0,1019.0,13.0,4,1.0,0.0,0.0,65.667,2
71,2013,2,1,10,4,12.0,93.65,1020.0,13.0,4,3.0,0.0,0.0,77.000,2
72,2013,2,1,11,4,12.0,87.75,1020.0,14.0,3,4.0,0.0,0.0,104.000,3
73,2013,2,1,12,4,13.0,87.84,1020.0,15.0,3,9.0,0.0,0.0,109.667,3
74,2013,2,1,13,4,12.0,82.27,1020.0,15.0,3,14.0,0.0,0.0,99.667,2
75,2013,2,1,14,4,12.0,87.75,1020.0,14.0,3,19.0,0.0,0.0,108.000,3
76,2013,2,1,15,4,12.0,87.75,1021.0,14.0,3,25.0,0.0,0.0,125.333,3
77,2013,2,1,16,4,11.0,87.66,1022.0,13.0,3,31.0,0.0,0.0,122.333,3
78,2013,2,1,17,4,10.0,87.57,1023.0,12.0,1,6.0,0.0,0.0,123.000,3
79,2013,2,1,18,4,9.0,93.5,1024.0,10.0,1,11.0,0.0,0.0,99.333,2
80,2013,2,1,19,4,9.0,93.5,1025.0,10.0,1,16.0,0.0,0.0,98.667,2
81,2013,2,1,20,4,8.0,87.38,1026.0,10.0,1,21.0,0.0,0.0,98.667,2
82,2013,2,1,21,4,8.0,87.38,1026.0,10.0,1,26.0,0.0,0.0,100.000,2
83,2013,2,1,22,4,8.0,87.38,1027.0,10.0,1,30.0,0.0,0.0,112.000,3
84,2013,2,1,23,4,7.0,87.28,1027.0,9.0,1,34.0,0.0,0.0,103.000,3
85,2013,2,2,0,4,6.0,87.19,1027.0,8.0,1,39.0,0.0,0.0,91.667,2
86,2013,2,2,1,4,5.0,81.34,1028.0,8.0,1,45.0,0.0,0.0,120.667,3
87,2013,2,2,2,4,5.0,87.09,1028.0,7.0,1,52.0,0.0,0.0,106.000,3
88,2013,2,2,3,4,5.0,93.29,1028.0,6.0,1,59.0,0.0,0.0,97.667,2
