,year,month,day,hour,season,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,PM_Mean,PM_Class
0,2013,4,22,13,1,-1.0,25.89,1013.0,19.0,4,55.0,0.0,0.0,131.333,3
1,2013,4,23,10,1,-5.0,26.4,1012.0,14.0,4,17.0,0.0,0.0,55.667,2
2,2013,4,23,16,1,2.0,50.36,1010.0,12.0,4,56.0,0.0,0.0,152.667,4
3,2013,4,24,8,1,6.0,87.19,1010.0,8.0,4,33.0,0.0,0.0,131.000,3
4,2013,4,24,16,1,-4.0,23.5,1006.0,17.0,4,69.0,0.0,0.0,14.667,1
5,2013,4,24,21,1,4.0,66.27,1008.0,10.0,4,100.0,0.0,0.0,16.000,1
6,2013,4,24,22,1,3.0,66.05,1007.0,9.0,2,3.0,0.0,0.0,20.333,1
7,2013,4,25,0,1,3.0,81.06,1007.0,6.0,4,4.0,0.0,0.0,49.667,1
8,2013,4,25,7,1,4.0,75.84,1007.0,8.0,4,20.0,0.0,0.0,51.000,2
9,2013,4,25,10,1,-1.0,40.54,1006.0,12.0,3,3.0,0.0,0.0,17.667,1
10,2013,4,25,11,1,0.0,40.84,1006.0,13.0,4,5.0,0.0,0.0,18.000,1
11,2013,4,25,12,1,0.0,43.6,1006.0,12.0,3,7.0,0.0,0.0,18.667,1
12,2013,4,25,14,1,3.0,61.76,1007.0,10.0,3,22.0,0.0,0.0,19.667,1
13,2013,4,26,7,1,5.0,93.29,1011.0,6.0,4,6.0,0.0,0.0,43.667,1
14,2013,4,26,8,1,7.0,87.28,1011.0,9.0,3,4.0,0.0,0.0,39.667,1
15,2013,4,26,9,1,4.0,62.0,1012.0,11.0,3,8.0,0.0,0.0,29.667,1
16,2013,4,26,10,1,4.0,58.03,1012.0,12.0,3,13.0,0.0,0.0,19.333,1
17,2013,4,26,11,1,2.0,44.2,1012.0,14.0,3,18.0,0.0,0.0,17.667,1
18,2013,4,26,13,1,1.0,38.56,1011.0,15.0,3,28.0,0.0,0.0,14.667,1
19,2013,4,26,14,1,0.0,33.65,1010.0,16.0,3,33.0,0.0,0.0,12.667,1
20,2013,4,26,16,1,-1.0,31.28,1010.0,16.0,1,5.0,0.0,0.0,18.000,1
21,2013,4,26,17,1,-1.0,33.35,1010.0,15.0,1,9.0,0.0,0.0,25.667,1
22,2013,4,26,18,1,0.0,38.26,1010.0,14.0,1,13.0,0.0,0.0,43.333,1
23,2013,4,27,1,1,2.0,80.92,1013.0,5.0,0,2.0,0.0,0.0,169.333,4
24,2013,4,27,2,1,3.0,75.67,1013.0,7.0,2,1.0,0.0,0.0,174.000,4
25,2013,4,27,3,1,3.0,81.06,1013.0,6.0,2,3.0,0.0,0.0,173.000,4
26,2013,4,27,5,1,2.0,75.49,1013.0,6.0,2,7.0,0.0,0.0,176.667,4
